ZIP,city,state_id,state_name,MSA_Name,UHII
2356,North Easton,MA,Massachusetts,"Providence-Warwick, RI-MA",0.209421783604249
2359,Pembroke,MA,Massachusetts,,-0.713285358523427
2360,Plymouth,MA,Massachusetts,,-0.545315369678935
2364,Kingston,MA,Massachusetts,,-0.440736305432338
2367,Plympton,MA,Massachusetts,,-1.2761135780925
2368,Randolph,MA,Massachusetts,,2.77867339293526
2370,Rockland,MA,Massachusetts,,2.06615023879412
2375,South Easton,MA,Massachusetts,"Providence-Warwick, RI-MA",0.40076851163859
2379,West Bridgewater,MA,Massachusetts,,1.22951138540728
2382,Whitman,MA,Massachusetts,,1.88442004748279
2420,Lexington,MA,Massachusetts,,2.16439505616516
2421,Lexington,MA,Massachusetts,,1.84247294483468
2445,Brookline,MA,Massachusetts,,5.85566344256981
2446,Brookline,MA,Massachusetts,,8.64969237541991
2451,Waltham,MA,Massachusetts,,2.42215288719458
2452,Waltham,MA,Massachusetts,,4.00078906010533
2453,Waltham,MA,Massachusetts,,6.04906939279252
2458,Newton,MA,Massachusetts,,7.93092080721251
2459,Newton Center,MA,Massachusetts,,4.08023394134774
2460,Newtonville,MA,Massachusetts,,7.34364733806901
2461,Newton Highlands,MA,Massachusetts,,4.2170291397746
2462,Newton Lower Falls,MA,Massachusetts,,3.18890035579952
2464,Newton Upper Falls,MA,Massachusetts,,5.2048247355303
2465,West Newton,MA,Massachusetts,,6.10552019852254
2466,Auburndale,MA,Massachusetts,,3.69273681747337
2467,Chestnut Hill,MA,Massachusetts,,3.49731163487196
2468,Waban,MA,Massachusetts,,3.79349042613587
2472,Watertown,MA,Massachusetts,,7.64950008651509
2474,Arlington,MA,Massachusetts,,5.24520062453151
2476,Arlington,MA,Massachusetts,,4.55935207016964
2478,Belmont,MA,Massachusetts,,4.87560070221396
2481,Wellesley Hills,MA,Massachusetts,,2.17121091408711
2482,Wellesley,MA,Massachusetts,,1.70626675269372
2492,Needham,MA,Massachusetts,,2.24644714424829
2493,Weston,MA,Massachusetts,,-0.124452244710781
2494,Needham Heights,MA,Massachusetts,,4.50095845226477
2702,Assonet,MA,Massachusetts,"Providence-Warwick, RI-MA",-0.114878295570349
2703,Attleboro,MA,Massachusetts,"Providence-Warwick, RI-MA",2.2551842313256
2715,Dighton,MA,Massachusetts,"Providence-Warwick, RI-MA",-0.0117626506812328
2717,East Freetown,MA,Massachusetts,"Providence-Warwick, RI-MA",-1.37137490354312
2718,East Taunton,MA,Massachusetts,"Providence-Warwick, RI-MA",0.907340901686078
2719,Fairhaven,MA,Massachusetts,"Providence-Warwick, RI-MA",1.50986623020922
2720,Fall River,MA,Massachusetts,"Providence-Warwick, RI-MA",3.9082666104974
2721,Fall River,MA,Massachusetts,"Providence-Warwick, RI-MA",6.07890921869276
2723,Fall River,MA,Massachusetts,"Providence-Warwick, RI-MA",5.29462157084938
2724,Fall River,MA,Massachusetts,"Providence-Warwick, RI-MA",5.95931868483658
2725,Somerset,MA,Massachusetts,"Providence-Warwick, RI-MA",2.244025658
2726,Somerset,MA,Massachusetts,"Providence-Warwick, RI-MA",1.24551667176265
2739,Mattapoisett,MA,Massachusetts,,-1.591432845
2740,New Bedford,MA,Massachusetts,"Providence-Warwick, RI-MA",5.00353975408523
2743,Acushnet,MA,Massachusetts,"Providence-Warwick, RI-MA",1.34713622255706
2744,New Bedford,MA,Massachusetts,"Providence-Warwick, RI-MA",2.82333367905352
2745,New Bedford,MA,Massachusetts,"Providence-Warwick, RI-MA",3.17283396786355
2746,New Bedford,MA,Massachusetts,"Providence-Warwick, RI-MA",5.68332094809307
2747,North Dartmouth,MA,Massachusetts,"Providence-Warwick, RI-MA",0.495755556706492
