ZIP,city,state_id,state_name,population,density,MSA_Name,UHII
94062,Redwood City,CA,California,25944.0,154.9,,4.03518529733682
94063,Redwood City,CA,California,34695.0,2060.2,,5.52097993570016
94065,Redwood City,CA,California,11620.0,1956.1,,0.188212646343394
94066,San Bruno,CA,California,42875.0,2731.6,,-0.368763671957717
94070,San Carlos,CA,California,30696.0,1936.3,,3.61382788493493
94080,South San Francisco,CA,California,65036.0,2467.3,,-0.435011130009286
94085,Sunnyvale,CA,California,23159.0,2545.6,"San Jose-Sunnyvale-Santa Clara, CA",1.12623363654699
94086,Sunnyvale,CA,California,48956.0,4328.7,"San Jose-Sunnyvale-Santa Clara, CA",2.30485075917148
94087,Sunnyvale,CA,California,58126.0,3405.0,"San Jose-Sunnyvale-Santa Clara, CA",2.6020577890225
94089,Sunnyvale,CA,California,23214.0,1473.0,"San Jose-Sunnyvale-Santa Clara, CA",-0.0293063513890579
94102,San Francisco,CA,California,34983.0,20418.7,,-0.808511833290195
94103,San Francisco,CA,California,33524.0,9421.3,,-0.387374321940957
94104,San Francisco,CA,California,478.0,2379.8,,-2.942054707
94105,San Francisco,CA,California,14890.0,11395.1,,-4.698389087
94107,San Francisco,CA,California,30190.0,6281.2,,-0.421674370357576
94108,San Francisco,CA,California,11008.0,16475.3,,-2.34261749766985
94109,San Francisco,CA,California,54397.0,19470.9,,-1.81026146027502
94110,San Francisco,CA,California,66687.0,10773.9,,0.88954186366041
94111,San Francisco,CA,California,4553.0,5269.4,,-4.57409730219048
94112,San Francisco,CA,California,80133.0,9276.1,,-0.967340032851312
94114,San Francisco,CA,California,33627.0,9376.7,,-1.24273993875062
94115,San Francisco,CA,California,32715.0,11115.5,,-1.9205498516873
94116,San Francisco,CA,California,42523.0,6499.5,,-2.75764697791635
94117,San Francisco,CA,California,37575.0,11382.7,,-1.50054728767329
94118,San Francisco,CA,California,39275.0,7562.2,,-3.6941748020685
94121,San Francisco,CA,California,42987.0,6548.4,,-6.39689364545402
94122,San Francisco,CA,California,57369.0,6800.4,,-4.11112710273533
94123,San Francisco,CA,California,24518.0,8743.3,,-5.49989949949311
94124,San Francisco,CA,California,36226.0,2930.5,,-0.646695672341278
94127,San Francisco,CA,California,20710.0,4287.6,,-1.57311011429255
94129,San Francisco,CA,California,3808.0,625.9,,-9.051913896
94130,San Francisco,CA,California,2829.0,1240.1,,-6.989938798
94131,San Francisco,CA,California,27809.0,5310.0,,-2.05473840266816
94132,San Francisco,CA,California,27406.0,3378.5,,-2.19991043831187
94133,San Francisco,CA,California,24753.0,14533.9,,-4.17399992591255
94134,San Francisco,CA,California,40142.0,6056.9,,-1.57289142400179
94188,San Francisco,CA,California,0.0,0.0,,0.14604072
